CSK_scafold,count,source
C1CCC(C2CC2CCC2CCC3CCCCC3C2)CC1,1,RNA binders
C1CCC(C(C2CCCCC2)C2CCC3CCCCC32)CC1,1,RNA binders
C1CCC(CC(C2CCCCC2)C2CCCCC2)CC1,1,RNA binders
C1CCC(C2CCC(C3CCC(C4CCCC5CCCC54)CC3)C2)CC1,1,RNA binders
C1CCC(C2CCC(CC3CCC4CCCC4C3)C2)CC1,1,RNA binders
C1CCC2C(C1)C1CCCCC1C2CCCC1CC2CCC(C1)C2,1,RNA binders
C1CCC(C2CCC3CCCC2C3)CC1,1,RNA binders
C1CCC(CCCCC2CCC(C3CCC(CCC4CCCCC4)C3)C2)CC1,1,RNA binders
C1CC2CCC(C3CCC(C4CC5CCCCC5C4)CC3)CC2C1,1,RNA binders
C1CCC(C2C3CCCCC3CC3CCCCC32)CC1,1,RNA binders
C1CC2CCC(C3CCCC3C3CCCC3)CC2C1,1,RNA binders
C1CCC(CCCCC2CCCC(C3CCC4CCCC4C3)C2)CC1,1,RNA binders
C1CCC(CCCCCC2CCCC2C2CCCCC2)CC1,1,RNA binders
C1CCC(CC2CC(CC3CCCCC3)C2)CC1,1,RNA binders
C1CCC(CC2CCC3CC(C4CCCCC4)C(C4CCCCC4)CC3C2)CC1,1,RNA binders
C1CCCC(CC2CCC2CCC2CCCCC2C2CCCCC2)CC1,1,RNA binders
